# OrdScale, Damp Rate: 0.0239638044938 0.116555513302
#  r 	 Gdiff 	 mPDF_calc 	 TotalDiff
3.070000000000000284e+00 -2.445210453026236408e-02 -2.950131249596353866e-01 2.705610204293730225e-01
3.080000000000000071e+00 -4.502626267744824773e-02 -2.925349991961566087e-01 2.475087365187083610e-01
3.089999999999999858e+00 -7.033215476229415231e-02 -2.899594372793502517e-01 2.196272825170560994e-01
3.100000000000000089e+00 -9.955199387328672600e-02 -2.872900230565020863e-01 1.877380291832153603e-01
3.110000000000000320e+00 -1.319515079870878793e-01 -2.845304194798869979e-01 1.525789114927991186e-01
3.120000000000000107e+00 -1.668262973928076320e-01 -2.816843610294694211e-01 1.148580636366617891e-01
3.129999999999999893e+00 -2.035148779792081974e-01 -2.787556460740026609e-01 7.524076809479446348e-02
3.140000000000000124e+00 -2.414026902353922921e-01 -2.757481291916024091e-01 3.434543895621011700e-02
3.150000000000000355e+00 -2.797978642422456197e-01 -2.726657134707439756e-01 -7.132150771501644115e-03
3.160000000000000142e+00 -3.179865595874762363e-01 -2.695123428124424625e-01 -4.847421677503377380e-02
3.169999999999999929e+00 -3.551527670128766800e-01 -2.662919942541074336e-01 -8.886077275876924642e-02
3.180000000000000160e+00 -3.904140848629791272e-01 -2.630086703352362276e-01 -1.274054145277428995e-01
3.190000000000000391e+00 -4.227607195915981109e-01 -2.596663915247048871e-01 -1.630943280668932238e-01
3.200000000000000178e+00 -4.511194216756431175e-01 -2.562691887289577086e-01 -1.948502329466854088e-01
3.209999999999999964e+00 -4.743969642425520661e-01 -2.528210958998666769e-01 -2.215758683426853892e-01
3.219999999999999751e+00 -4.915029224174222167e-01 -2.493261427604527847e-01 -2.421767796569694320e-01
3.229999999999999982e+00 -5.014448634070960420e-01 -2.457883476660157607e-01 -2.556565157410802813e-01
3.240000000000000213e+00 -5.033846864944838684e-01 -2.422117106175286083e-01 -2.611729758769552601e-01
3.250000000000000000e+00 -4.967659576135252664e-01 -2.386002064434080139e-01 -2.581657511701172525e-01
3.259999999999999787e+00 -4.813219725571919461e-01 -2.349577781649859476e-01 -2.463641943922059985e-01
3.270000000000000018e+00 -4.571798490080807298e-01 -2.312883305601746153e-01 -2.258915184479061145e-01
3.280000000000000249e+00 -4.249116393151464166e-01 -2.275957239389491404e-01 -1.973159153761972762e-01
3.290000000000000036e+00 -3.855172445804209147e-01 -2.238837681433672733e-01 -1.616334764370536414e-01
3.299999999999999822e+00 -3.404232547870847947e-01 -2.201562167839127837e-01 -1.202670380031720110e-01
3.310000000000000053e+00 -2.914781511516394419e-01 -2.164167617229869611e-01 -7.506138942865248076e-02
3.320000000000000284e+00 -2.408229198945804894e-01 -2.126690278153913483e-01 -2.815389207918914116e-02
3.330000000000000071e+00 -1.908292732400900249e-01 -2.089165679146463284e-01 1.808729467455630346e-02
3.339999999999999858e+00 -1.439484664877369591e-01 -2.051628581529752748e-01 6.121439166523831577e-02
3.350000000000000089e+00 -1.026136250695257601e-01 -2.014112935017565997e-01 9.879766843223083961e-02
3.360000000000000320e+00 -6.904141274670561046e-02 -1.976651836182215793e-01 1.286237708715159689e-01
3.370000000000000107e+00 -4.508902740603160098e-02 -1.939277489831475187e-01 1.488387215771159178e-01
3.379999999999999893e+00 -3.220455588293180682e-02 -1.902021173332652249e-01 1.579975614503334180e-01
3.390000000000000124e+00 -3.121023831999569786e-02 -1.864913203910849304e-01 1.552810820710892326e-01
3.400000000000000355e+00 -4.227773534129997124e-02 -1.827982908938323159e-01 1.405205555525323446e-01
3.410000000000000142e+00 -6.492360745624237151e-02 -1.791258599221961234e-01 1.142022524659537519e-01
3.419999999999999929e+00 -9.797149033099561422e-02 -1.754767545286117225e-01 7.750526419761610830e-02
