# r 	 gobs 	 nucpdfcalc 	 mpdfcalc
2.830000000000000071e+00 -3.601961397619056093e+00 -3.096647434617571193e+00 -5.634574429832358428e-02
2.839999999999999858e+00 -3.839812815180593919e+00 -3.306874107514133687e+00 -5.818384353808901677e-02
2.850000000000000089e+00 -4.056345195885143973e+00 -3.506337412818209653e+00 -6.001834721458977617e-02
2.859999999999999876e+00 -4.247196081508467280e+00 -3.691599879707128107e+00 -6.184720946443878625e-02
2.870000000000000107e+00 -4.408464897887943046e+00 -3.859351940618717780e+00 -6.366832855242358924e-02
2.879999999999999893e+00 -4.536853650185307174e+00 -4.006503487075519843e+00 -6.547954937823566302e-02
2.890000000000000124e+00 -4.629789165979865118e+00 -4.130271641151829876e+00 -6.727866608026958350e-02
2.899999999999999911e+00 -4.685520885602767471e+00 -4.228261538639743300e+00 -6.906342473550389216e-02
2.910000000000000142e+00 -4.703189233555209903e+00 -4.298537113824871803e+00 -7.083152613476416393e-02
2.919999999999999929e+00 -4.682860917340118334e+00 -4.339679199525799724e+00 -7.258062838232090530e-02
2.930000000000000160e+00 -4.625529024584433380e+00 -4.350828697807581413e+00 -7.430835022172867232e-02
2.939999999999999947e+00 -4.533077447471120180e+00 -4.331713119004756862e+00 -7.601227440499778998e-02
2.950000000000000178e+00 -4.408210868575870300e+00 -4.282655406925258923e+00 -7.768995055398546234e-02
2.959999999999999964e+00 -4.254353204127398591e+00 -4.204564639988971564e+00 -7.933889844042968376e-02
2.970000000000000195e+00 -4.075518930958201835e+00 -4.098908892528260850e+00 -8.095661135469049696e-02
2.979999999999999982e+00 -3.876163039953313127e+00 -3.967671227157616443e+00 -8.254055957161632318e-02
2.990000000000000213e+00 -3.661016390681791410e+00 -3.813290437734926375e+00 -8.408819391411012645e-02
3.000000000000000000e+00 -3.434913933215911541e+00 -3.638588744280962128e+00 -8.559694941487026865e-02
3.010000000000000231e+00 -3.202623576224553403e+00 -3.446689130539847490e+00 -8.706424907662574375e-02
3.020000000000000018e+00 -2.968683397949463565e+00 -3.240925390093852609e+00 -8.848750773003873082e-02
3.030000000000000249e+00 -2.737254422679161525e+00 -3.024748191782035356e+00 -8.986413599733390767e-02
3.040000000000000036e+00 -2.511995345060490603e+00 -2.801630579348111105e+00 -9.119154434158402434e-02
3.050000000000000266e+00 -2.295964423083094008e+00 -2.574976280033921316e+00 -9.246714721336972420e-02
3.060000000000000053e+00 -2.091552340245415920e+00 -2.348034015233363636e+00 -9.368836730474315588e-02
3.070000000000000284e+00 -1.900448234573810957e+00 -2.123820692879565541e+00 -9.485263988895224763e-02
3.080000000000000071e+00 -1.723639392833422157e+00 -1.905055931584306972e+00 -9.595741725251823173e-02
3.089999999999999858e+00 -1.561443403394091600e+00 -1.694109841604897193e+00 -9.700017321521704761e-02
3.100000000000000089e+00 -1.413569941679824193e+00 -1.492965392649250322e+00 -9.797840773415555926e-02
3.109999999999999876e+00 -1.279207913732343105e+00 -1.303196061507510883e+00 -9.888965158743567851e-02
3.120000000000000107e+00 -1.157132482161222775e+00 -1.125958803278732656e+00 -9.973147113216947190e-02
3.129999999999999893e+00 -1.045825606688330467e+00 -9.620017584310955883e-01 -1.005014731308449538e-01
3.140000000000000124e+00 -9.436031933629248636e-01 -8.116855226450679917e-01 -1.011973096392774496e-01
